lat,lon,HU
38.5,277.25,True
38.5,277.5,True
38.5,277.75,True
38.5,278.0,True
38.5,278.25,True
38.5,278.5,True
38.5,278.75,True
38.5,279.0,True
38.5,279.25,True
38.5,279.5,True
38.5,279.75,True
38.5,280.0,True
38.5,280.25,True
38.5,280.5,True
38.5,280.75,True
38.5,281.0,True
38.5,281.25,True
38.5,281.5,True
38.5,281.75,True
38.5,282.0,True
38.5,282.25,True
38.5,282.5,True
38.5,282.75,True
38.5,283.0,True
38.5,283.25,True
38.5,283.5,True
38.5,283.75,True
38.5,284.0,True
38.5,284.25,True
38.5,284.5,True
38.5,284.75,True
38.5,285.0,True
38.5,285.25,True
38.5,285.5,True
38.5,285.75,True
38.5,286.0,True
38.5,286.25,True
38.5,286.5,True
38.5,286.75,True
38.5,287.0,True
38.5,287.25,True
38.5,287.5,True
38.5,287.75,True
38.5,288.0,True
38.5,288.25,True
38.5,288.5,True
38.5,288.75,True
38.5,289.0,True
38.5,289.25,True
38.5,289.5,True
38.5,289.75,True
38.5,290.0,True
38.5,290.25,True
38.5,290.5,True
38.5,290.75,True
38.5,291.0,True
38.5,291.25,True
38.5,291.5,True
38.5,291.75,True
38.5,292.0,True
38.5,292.25,True
38.5,292.5,True
38.5,292.75,True
38.5,293.0,True
38.5,293.25,True
38.5,293.5,True
38.5,293.75,True
38.5,294.0,True
38.5,294.25,True
38.5,294.5,True
38.5,294.75,True
38.5,295.0,True
38.5,295.25,True
38.5,295.5,True
38.5,295.75,True
38.5,296.0,True
38.5,296.25,True
38.5,296.5,True
38.5,296.75,True
38.5,297.0,True
38.5,297.25,True
38.5,297.5,True
38.5,297.75,True
38.5,298.0,True
38.5,298.25,True
38.5,298.5,True
38.5,298.75,True
38.75,276.25,True
38.75,276.5,True
38.75,276.75,True
38.75,277.0,True
38.75,277.25,True
38.75,277.5,True
38.75,277.75,True
38.75,278.0,True
38.75,278.25,True
38.75,278.5,True
38.75,278.75,True
38.75,279.0,True
38.75,279.25,True
38.75,279.5,True
